customer_id,total_orders,average_order_value,total_spending,weekend_orders,late_night_orders,active_months_x,ordering_frequency,active_months_y,average_rating_given,cluster,cluster_name,dbscan_cluster
CUST_0001,5,157.95,789.75,2,2,5.466666666666667,0.9146341463414634,5.466666666666667,3.6,0,Regular Moderate-Value Customers,0
CUST_0002,3,125.34666666666665,376.03999999999996,1,1,2.3,1.3043478260869565,2.3,3.6666666666666665,2,Occasional Low-Spend Customers,0
CUST_0003,3,194.97000000000003,584.9100000000001,0,1,1.3666666666666667,2.1951219512195124,1.3666666666666667,3.3333333333333335,2,Occasional Low-Spend Customers,0
CUST_0004,3,280.41,841.23,1,1,5.033333333333333,0.5960264900662252,5.033333333333333,4.0,0,Regular Moderate-Value Customers,0
CUST_0005,2,148.73000000000002,297.46000000000004,0,2,4.466666666666667,0.44776119402985076,4.466666666666667,3.0,0,Regular Moderate-Value Customers,0
CUST_0006,3,212.01999999999998,636.06,0,2,4.833333333333333,0.6206896551724138,4.833333333333333,3.0,0,Regular Moderate-Value Customers,0
CUST_0007,6,230.3066666666667,1381.8400000000001,3,1,4.366666666666666,1.3740458015267176,4.366666666666666,2.8333333333333335,1,Premium Frequent Diners,0
CUST_0008,8,223.28125,1786.25,2,4,4.833333333333333,1.6551724137931036,4.833333333333333,3.375,1,Premium Frequent Diners,0
CUST_0009,5,286.614,1433.07,1,3,4.733333333333333,1.056338028169014,4.733333333333333,3.2,0,Regular Moderate-Value Customers,0
CUST_0010,5,355.116,1775.58,1,0,4.133333333333334,1.2096774193548385,4.133333333333334,2.4,0,Regular Moderate-Value Customers,-1
CUST_0011,6,174.86166666666668,1049.17,1,4,5.5,1.0909090909090908,5.5,3.0,1,Premium Frequent Diners,0
CUST_0012,9,225.88,2032.92,1,4,2.7666666666666666,3.253012048192771,2.7666666666666666,3.4444444444444446,1,Premium Frequent Diners,-1
CUST_0013,6,210.78,1264.68,0,2,4.433333333333334,1.3533834586466165,4.433333333333334,3.1666666666666665,0,Regular Moderate-Value Customers,0
CUST_0014,6,187.865,1127.19,2,3,3.4,1.7647058823529411,3.4,3.0,1,Premium Frequent Diners,0
CUST_0015,4,205.3075,821.23,0,3,4.233333333333333,0.9448818897637795,4.233333333333333,3.25,0,Regular Moderate-Value Customers,0
CUST_0016,2,107.285,214.57,2,1,1.0,2.0,1.0,3.0,2,Occasional Low-Spend Customers,0
CUST_0017,4,301.39,1205.56,0,0,3.8,1.0526315789473684,3.8,3.75,0,Regular Moderate-Value Customers,0
CUST_0018,4,197.35250000000002,789.4100000000001,1,1,4.966666666666667,0.8053691275167785,4.966666666666667,3.5,0,Regular Moderate-Value Customers,0
CUST_0019,8,233.94625000000002,1871.5700000000002,4,4,3.2,2.5,3.2,3.625,1,Premium Frequent Diners,0
CUST_0020,8,184.625,1477.0,5,5,3.9,2.0512820512820515,3.9,2.875,1,Premium Frequent Diners,0
