,predicted_order_count
2026-05-25 19:00:00,1.0797141608713945
2026-05-25 20:00:00,1.07653406105562
2026-05-25 21:00:00,1.0768587564183358
2026-05-25 22:00:00,1.0768256042895736
2026-05-25 23:00:00,1.0768289891966825
2026-05-26 00:00:00,1.0768286435900334
2026-05-26 01:00:00,1.0768286788772516
2026-05-26 02:00:00,1.076828675274347
2026-05-26 03:00:00,1.0768286756422116
2026-05-26 04:00:00,1.076828675604652
2026-05-26 05:00:00,1.0768286756084868
2026-05-26 06:00:00,1.0768286756080954
2026-05-26 07:00:00,1.0768286756081353
2026-05-26 08:00:00,1.0768286756081311
2026-05-26 09:00:00,1.0768286756081316
2026-05-26 10:00:00,1.0768286756081316
2026-05-26 11:00:00,1.0768286756081316
2026-05-26 12:00:00,1.0768286756081316
2026-05-26 13:00:00,1.0768286756081316
2026-05-26 14:00:00,1.0768286756081316
2026-05-26 15:00:00,1.0768286756081316
2026-05-26 16:00:00,1.0768286756081316
2026-05-26 17:00:00,1.0768286756081316
2026-05-26 18:00:00,1.0768286756081316
